Skip to main content | Skip to main navigation | Skip to navigation for this section of the website,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Go toUniversity of Virginia Libraryhome,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Historical Census Browser,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State Level Results for 1800,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You may add more topics to the table by selecting them from the list below the table.,,,,,,,,,,,,,,,,,
You may delete topics from the table by selecting them from the list below the table.,,,,,,,,,,,,,,,,,
"To display proportions of the selected topics, choose one or more numerators and a single denominator.",,,,,,,,,,,,,,,,,
"To sort the data, choose one of the options below for sorting and choose ascending or descending.",,,,,,,,,,,,,,,,,
"To create a national map by state of one category, click on the ""Map it!"" button at the top of the column.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Add new topics, create proportions, change sort order",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"To select county-level data for all states, check the box for ""All States"" at the top of the list.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State,TOTAL POPULATION,TOTAL FREE PERSONS,ALL OTHER FREE PERSONS,FREE WHITE FEMALES 45 YEARS OF AGE AND OVER,FREE WHITE FEMALES 26-44 YEARS OF AGE,FREE WHITE FEMALES 16-25 YEARS OF AGE,FREE WHITE FEMALES 10-15 YEARS OF AGE,FREE WHITE FEMALES UNDER TEN YEARS OF AGE,FREE WHITE MALES 45 YEARS OF AGE AND OVER,FREE WHITE MALES 26-44 YEARS OF AGE,FREE WHITE MALES 16-25 YEARS OF AGE,FREE WHITE MALES 10-15 YEARS OF AGE,FREE WHITE MALES UNDER TEN YEARS OF AGE,FREE WHITES,FREE WHITE FEMALES,FREE WHITE MALES,SLAVES
"To retrieve county-level data, select a state and click the submit button below",,,,,,,,,,,,,,,,,
ALL STATES,,,,,,,,,,,,,,,,,
CONNECTICUT,"251,002","250,051","5,330","20,827","25,186","23,561","18,218","35,736","18,976","23,180","21,683","19,408","37,946","244,721","123,528","121,193",951
DELAWARE,"64,273","58,120","8,268","2,390","4,981","5,543","4,277","7,628","2,213","5,012","5,121","4,437","8,250","49,852","24,819","25,033","6,153"
GEORGIA,"162,686","104,180","1,919","3,894","8,835","9,243","7,914","18,407","4,957","10,914","9,787","8,469","19,841","102,261","48,293","53,968","59,699"
KENTUCKY,"220,955","180,612",741,"7,075","14,934","15,524","13,433","34,949","9,233","17,699","15,705","14,045","37,274","179,871","85,915","93,956","40,343"
